Код,Вариант,1(2б),2(1б),3(3б),4(3б),5(1б),6(1б),7(2б),8(3б),"Класс № (список формируется из листа""Классы"")",Пол,Отметка за предыдущий триместр/ четверть/полугодие,Итого баллов,Оценка ВПР,Сравнение оценки
60087,2,2,1,2,0,1,1,1,1,3,ж,4,9,4,подтвердил
60091,1,2,1,1,2,0,1,2,3,3,ж,5,12,4,понизил
60075,1,0,0,1,0,0,0,1,0,3,м,3,2,2,понизил
60062,1,0,1,1,1,1,1,1,2,3,м,4,8,3,понизил
60063,1,2,1,0,0,0,1,0,0,3,м,3,4,3,подтвердил
60071,1,0,1,1,0,0,1,2,0,3,ж,3,5,3,подтвердил
60067,1,2,0,2,3,1,0,0,1,3,м,3,9,4,повысил
60081,1,2,1,1,0,1,1,1,0,3,м,4,7,3,понизил
60064,1,2,1,2,0,0,1,0,1,3,м,3,7,3,подтвердил
60066,1,0,0,0,0,0,0,1,0,3,м,2,1,2,подтвердил
60090,1,2,1,0,0,1,1,2,1,3,м,4,8,3,понизил
60065,1,2,1,1,0,0,0,2,0,3,м,3,6,3,подтвердил
60077,1,2,1,1,3,0,1,1,0,3,м,4,9,4,подтвердил
60088,1,2,1,2,3,1,1,2,0,3,м,3,12,4,повысил
60070,1,2,1,2,3,1,0,1,0,3,ж,3,10,4,повысил
60082,1,0,1,2,0,0,1,2,0,3,м,3,6,3,подтвердил
60076,2,2,0,2,0,0,1,0,0,3,ж,3,5,3,подтвердил
60083,2,2,0,2,0,1,1,1,0,3,ж,3,7,3,подтвердил
60086,2,2,1,2,0,1,1,1,0,3,ж,4,8,3,понизил
60072,2,0,0,0,0,0,1,1,0,3,ж,3,2,2,понизил
60089,2,0,0,2,0,0,0,0,0,3,ж,3,2,2,понизил
60084,2,0,1,2,1,0,1,1,0,3,ж,4,6,3,понизил
60069,2,0,0,2,1,0,1,1,2,3,м,3,7,3,подтвердил
60073,2,2,1,2,1,0,1,1,0,3,м,2,8,3,повысил
60079,2,0,1,0,1,0,1,1,3,3,ж,4,7,3,понизил
60078,2,0,1,2,0,0,1,1,1,3,м,3,6,3,подтвердил
60080,2,2,1,2,2,0,1,1,0,3,м,4,9,4,подтвердил
60068,2,0,1,1,0,0,1,1,1,3,ж,3,5,3,подтвердил
60074,2,2,1,2,2,0,1,1,1,3,м,5,10,4,понизил
60166,2,2,1,2,1,0,1,1,2,6,м,4,10,4,подтвердил
60165,2,0,1,2,1,0,1,0,2,6,м,4,7,3,понизил
60169,2,0,0,0,0,0,0,0,3,6,м,2,3,2,подтвердил
60167,2,0,1,2,0,0,1,1,2,6,ж,4,7,3,понизил
60154,2,0,0,1,1,0,1,0,2,6,ж,5,5,3,понизил
60157,2,2,0,0,3,0,1,1,3,6,ж,3,10,4,повысил
60152,2,2,0,2,0,0,1,1,2,6,м,4,8,3,понизил
60159,2,0,1,1,0,0,1,0,1,6,ж,3,4,3,подтвердил
60174,1,2,1,1,2,0,1,1,1,6,м,4,9,4,подтвердил
60163,1,0,0,0,0,0,1,1,1,6,ж,4,3,2,понизил
60156,1,0,0,0,0,0,1,0,0,6,м,3,1,2,понизил
60158,1,0,1,2,0,0,0,1,2,6,м,4,6,3,понизил
60164,1,2,1,0,0,1,1,2,2,6,ж,4,9,4,подтвердил
60161,1,0,1,1,0,0,0,1,1,6,м,3,4,3,подтвердил
60170,1,0,1,1,0,0,1,1,0,6,м,3,4,3,подтвердил
60085,,,,,,,,,,,,,,,
60153,,,,,,,,,,,,,,,
60155,,,,,,,,,,,,,,,
60160,,,,,,,,,,,,,,,
60162,,,,,,,,,,,,,,,
60168,,,,,,,,,,,,,,,
60171,,,,,,,,,,,,,,,
60172,,,,,,,,,,,,,,,
60173,,,,,,,,,,,,,,,
60001,2,0,1,2,1,1,1,1,0,1,м,5,7,3,понизил
60002,2,1,1,1,3,0,1,0,1,1,м,4,8,3,понизил
60003,2,0,0,1,0,1,0,1,0,1,ж,4,3,2,понизил
60004,отсутствовал,,,,,,,,,,,,,,
60005,2,0,1,3,3,1,1,0,3,1,ж,,12,4,повысил
60006,2,0,1,2,3,1,1,0,3,1,м,4,11,4,подтвердил
60007,1,2,1,1,3,1,1,2,3,1,м,4,14,5,повысил
60008,отсутствовал,,,,,,,,,,,,,,
60009,2,1,1,3,3,1,1,1,3,1,м,4,14,5,повысил
60010,отсутствовал,,,,,,,,,,,,,,
60011,1,0,1,2,0,0,1,0,3,1,м,4,7,3,понизил
60012,1,2,1,3,3,1,1,2,0,1,ж,5,13,5,подтвердил
60013,2,1,1,1,1,0,1,2,3,1,ж,4,10,4,подтвердил
60014,2,1,0,0,2,0,0,2,0,1,ж,4,5,3,понизил
60015,1,2,1,0,3,1,0,2,3,1,м,5,12,4,понизил
60016,отсутствовал,,,,,,,,,,,,,,
60017,2,1,1,3,3,0,1,1,0,1,ж,5,10,4,понизил
60018,отсутствовал,,,,,,,,,,,,,,
60019,2,1,1,1,0,1,1,1,3,1,м,3,9,4,повысил
60020,1,2,1,2,3,1,0,0,3,1,м,4,12,4,подтвердил
60021,1,0,0,1,2,1,1,1,0,1,ж,4,6,3,понизил
60022,1,2,1,0,0,1,1,1,0,1,ж,5,6,3,понизил
60023,1,2,1,3,3,1,1,1,3,1,м,5,15,5,подтвердил
60024,1,2,0,3,1,1,1,2,3,1,м,4,13,5,повысил
60025,1,2,1,0,3,0,0,1,0,1,м,4,7,3,понизил
60026,2,0,0,1,0,1,1,1,0,1,ж,4,4,3,понизил
60027,2,1,1,3,3,0,1,1,3,1,м,4,13,5,повысил
60028,2,1,1,3,3,1,1,1,0,1,м,4,11,4,подтвердил
60029,2,2,1,0,3,0,0,1,0,1,м,3,7,3,подтвердил
60030,1,2,1,3,3,1,1,1,1,1,ж,5,13,5,подтвердил
60031,1,2,1,1,2,0,1,2,3,1,м,5,12,4,понизил
,,,,,,,,,,,,,,,